ReleaseID,version,ClassName,LOC,NRtotal,NRpartial,NfixTotal,NfixPartial,NauthTotal,NauthPartial,locAddedTotal,locAddedPartial,churnTotal,ChurnPartial,maxChurnTotal,maxChurnPartial,avgChurnTotal,avgChurnPartial,age,chgSetTotal,chgSetPartial,maxChangeSetTotal,maxChangeSetPartial,avgChgSetTotal,avgChgSetPartial,smells,Buggy
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/ArrayStateImage.java,104,4,4,0,0,1,1,209,209,209,209,104,104,52,52,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SubclassJoinDiscriminatorStrategy.java,162,3,3,0,0,2,2,165,165,165,165,161,161,55,55,37,2452,2452,1049,1049,817,817,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingRepository.java,1179,5,5,0,0,2,2,1207,1207,1222,1222,1135,1135,244,244,37,2441,2441,1049,1049,488,488,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/TypesChangedListener.java,30,4,4,0,0,1,1,59,59,59,59,30,30,14,14,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/Generator.java,99,4,4,0,0,1,1,196,196,196,196,99,99,49,49,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/ExpressionStoreQuery.java,740,7,7,0,0,2,2,1441,1441,1462,1462,665,665,208,208,45,3473,3473,1031,1031,496,496,0,yes
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/AbstractQueue.java,170,6,6,0,0,1,1,288,288,316,316,193,193,52,52,58,3579,3579,1031,1031,596,596,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSyntaxes.java,39,2,2,0,0,1,1,39,39,39,39,39,39,19,19,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,93,2,2,0,0,1,1,93,93,93,93,93,93,46,46,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java,57,4,4,0,0,2,2,63,63,64,64,58,58,16,16,37,2607,2607,1049,1049,651,651,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Distinct.java,69,7,7,0,0,2,2,161,161,177,177,78,78,25,25,45,3508,3508,1031,1031,501,501,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/MappingStrategyInstaller.java,68,2,2,0,0,1,1,68,68,68,68,68,68,34,34,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/AbstractDiscriminatorStrategy.java,89,3,3,0,0,2,2,91,91,91,91,89,89,30,30,37,2452,2452,1049,1049,817,817,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindValueVariableExpression.java,44,4,4,0,0,1,1,88,88,88,88,44,44,22,22,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/SuperclassDiscriminatorStrategy.java,61,3,3,0,0,2,2,65,65,66,66,62,62,22,22,37,2452,2452,1049,1049,817,817,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitEventManager.java,221,5,5,0,0,1,1,442,442,446,446,225,225,89,89,45,3027,3027,1031,1031,605,605,0,yes
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/util/ByteId.java,64,4,4,0,0,1,1,126,126,126,126,64,64,31,31,45,3013,3013,1031,1031,753,753,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/CacheDictionary.java,42,2,2,0,0,1,1,42,42,42,42,42,42,21,21,37,2077,2077,1049,1049,1038,1038,0,no
1,0.9.0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java,68,3,3,0,0,2,2,70,70,71,71,69,69,23,23,37,2501,2501,1049,1049,833,833,0,no
1,0.9.0,openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java,173,5,5,0,0,1,1,354,354,359,359,178,178,71,71,45,3521,3521,1028,1028,704,704,0,yes
1,0.9.0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/concurrent/AbstractSet.java,47,5,5,0,0,1,1,64,64,71,71,48,48,14,14,58,3089,3089,1031,1031,617,617,0,no
